2,105,13,268,239,475,0.7319409,person
2,106,15,271,298,472,0.8998818,person
2,107,48,243,298,475,0.7646234,person
2,108,71,221,291,476,0.8182876,person
2,109,98,231,300,480,0.7027178,person
2,110,141,216,328,479,0.9760941,person
2,111,151,197,374,481,0.96518606,person
2,112,176,203,396,479,0.98422945,person
2,113,201,181,394,475,0.9772524,person
2,114,213,172,387,482,0.9786564,person
2,115,230,179,392,477,0.992599,person
2,116,256,170,418,478,0.9993502,person
2,117,253,166,440,476,0.9985204,person
2,118,261,169,449,478,0.99230474,person
2,119,275,167,452,474,0.99438035,person
2,120,295,168,450,479,0.9983053,person
2,121,310,172,449,478,0.99921316,person
2,121,320,182,442,463,0.8997619,person
2,122,321,153,465,478,0.99765503,person
2,123,315,162,477,472,0.9989125,person
2,124,322,162,473,475,0.9938121,person
2,125,328,151,462,465,0.99233633,person
2,125,341,158,455,457,0.9884567,person
2,126,335,156,469,458,0.9737202,person
2,126,348,163,466,452,0.9931576,person
2,127,347,160,476,441,0.97952974,person
2,127,362,165,475,435,0.9979256,person
2,128,363,148,492,427,0.9859815,person
2,128,373,147,485,430,0.9957666,person
2,129,368,154,500,424,0.9642938,person
2,129,377,154,495,422,0.9960028,person
2,130,373,151,501,416,0.98258984,person
2,130,380,155,497,413,0.9979922,person
2,131,391,136,502,400,0.9782484,person
2,132,397,142,501,394,0.99748075,person
2,133,408,142,507,382,0.98744434,person
2,134,393,121,525,381,0.7193596,person
2,134,406,125,510,381,0.99616575,person
2,135,392,133,526,376,0.913836,person
2,135,407,143,513,376,0.998607,person
2,136,412,127,506,376,0.9978082,person
2,137,416,123,501,370,0.76618606,person
2,138,418,134,505,363,0.99184537,person
2,139,419,124,506,339,0.7440169,person
2,140,414,127,507,339,0.9878625,person
2,141,415,127,503,341,0.99044335,person
2,142,417,124,503,334,0.9759114,person
2,143,417,122,503,331,0.92930067,person
2,144,418,134,502,323,0.96480507,person
2,145,414,128,497,320,0.9965926,person
2,146,410,128,497,320,0.99730515,person
2,147,411,127,499,320,0.99815893,person
2,148,417,121,497,309,0.99524444,person
2,149,421,125,499,304,0.9952207,person
2,150,424,126,500,303,0.9961823,person
2,151,429,116,502,300,0.99852395,person
2,152,432,126,502,299,0.9979936,person
2,153,432,119,501,292,0.99723446,person
2,154,433,118,500,291,0.9975184,person
2,155,436,119,511,289,0.99295026,person
2,156,441,114,508,282,0.9986308,person
2,157,437,119,498,278,0.599103,dog
2,157,442,120,503,278,0.6846738,person
2,158,442,123,506,272,0.9961575,person
2,159,435,124,498,266,0.95090955,dog
2,160,442,124,504,267,0.6742206,person
2,161,436,114,497,263,0.99694115,person
2,162,435,119,494,259,0.77313036,dog
2,163,431,115,494,248,0.8105922,dog
2,164,431,121,492,258,0.9344079,dog
2,165,431,115,490,258,0.9887739,person
2,166,432,110,487,250,0.974547,person
2,167,438,110,484,250,0.9875161,person
2,168,432,108,490,250,0.9938587,person
2,169,431,109,493,250,0.99439347,person
2,170,432,107,494,247,0.9758856,person
2,171,436,105,495,243,0.9926625,person
2,172,447,113,499,237,0.97538054,person
2,173,450,105,497,241,0.9910399,person
2,174,451,103,497,238,0.9969984,person
